id,meterologist,degen
1,terra100d87dhfca4x023yphu0qfslwnn0vmhgxqpdy3,28
2,terra100xy3jd787uyxafx3nw02qleq7lk7lu9rt595e,6
3,terra102af7a4l2hcmt8g5hn3sgdej77mnte47v6zwte,24
4,terra102c6vvss90gr2rudnzg0al77srs5k9tkdx3wun,16
5,terra102lf52uzkgqhz03rmnupy6qf50qt6xflyag9zm,4
6,terra102mt534xw9kxwggqlwcegn3pyzy80p5u3g9h5y,11
7,terra102pwdz6wmcptd4xc96gauvfxdehqq062zkqqfv,21
8,terra102sca9qq0fuu3e4hjz8hfc8c4q7nfrfh5qkrd3,8
9,terra102wja2kgjj8hl4lpnc8yh2hxzghdt2wr28jynj,13
10,terra102xrq94nyp8yh2u23c54lvdx82z6dqyedrfduf,27
11,terra10355nemgu8xydzhwsm2ace8h97z3ec30zdhwgc,20
12,terra103985t7haeeppgeas5lh8ys0zg7dguuqhrxwch,26
13,terra1039rmnnjk5m44xm42q3wxl2d6ags5y3e5cd4tg,22
14,terra103q86993pk5hphvd55jy64unw20uupsk4xcsvq,2
15,terra103qx2q30638mx2knxfqn77padtxtn6cd7wxmqp,2
16,terra103umwsh8jdumt86zuv5p635h6rmpe3pmfmhfz6,30
17,terra103vut6832lm7frwyuf8g0he20mv5v5r39t2glc,29
18,terra1040qra9t5dqqrv435nd7wj7yu4qyq5cmd2fsa5,23
19,terra1042cwz2llmk8kp304yn8hkv9ce0gf66cyqgh9r,14
20,terra1042sgc0w4c38cur3fvz330wux6y8z9zjksy578,24
21,terra1048gyhzptenxuwt5h4sngddej74vsq0rf300zw,27
22,terra104nhpgxwsrsek3vyq2qkn4889zykjkwnz87kv4,19
23,terra104ql4k3d7ssjcr5f4z8r30atfvw2mlhmjkrsp6,22
24,terra104u8s2d3se2v42ahjuhhkczt23qyvgkat3j26e,30
25,terra104utlud4jj8sdq5wzslnrhw73qhahmxrjtueyc,15
26,terra104wkn629zgz7kfgm6n0p9f2cuenywxzm0jvq6n,3
27,terra10569a3q3q0xuu546m25lp5ec6n4lkx2ls33dsz,2
28,terra1057spaae6lcww4lzje25gneztz94cvmtsvjwxq,9
29,terra105a06ftgdg83uvg3xqwgky5rfldj4592tkd6h6,3
30,terra105fg0kez29rgefk7d7ecesq74fqjfeukwgjjey,11
31,terra105sjw5rl74m8hzeth0k4nfdgjl056eygwhqude,30
32,terra105yafg54nuy5w4dgf7jzfgnzp5r9hsftqevmaw,20
33,terra105zlvy7hpls8h6f8zlsss7wpwey5etwa6pj2x6,2
34,terra1060f58al85zwzv2zpuax4l29c660zm60w3nyw6,27
35,terra10663a0umjnvxxpvxelqnwnnj8zf2vy99lrvwen,13
36,terra106ly7vf9gs2602zuw7clhkvd6vxv8rra8zlsz8,11
37,terra106m33az2e73gp5ggaukgat3acfmk0fcxzlefnx,10
38,terra106ssh7scfuecv4asaa2tyk2rxzv0rff4tlcr0a,24
39,terra106thjfvk32wj6j2u0sgch2h7hxssuh3j4qcgya,4
40,terra106xeplp82km5xl7zk8afrvl84n9ks3hpjjl2pq,30
41,terra106yv8xst87aecamc4nqvswh9fqk05k7w9n0ymj,20
42,terra1072q7txl66nc5zfyexe0wk3m6w05jy88arnra4,25
43,terra107982u9v0dsmgwmkvat8r5u9gahuj9neav3q8k,22
44,terra107nzzxhpn2wgcyh0qnxm33529p5g7z7crxgh5y,5
45,terra107wch9qm3r5285xqwkcv2nyux3mfj6m6l3lt9p,26
46,terra10808lqrhwvd9lk0gjyvsjmhnxzcc4kz6j09tj6,27
47,terra1085wjp9mkpnc77k0thjah8fzcuc9luff8dqhc6,2
48,terra108y8w9rd58nm3xcwa3ky3gj98pw9nf2ktf3pxw,27
49,terra10930hmsl3xglm887khc0gxqs7gz2nhsmanz7fq,4
50,terra1097hd9x9w9ffm2qer5tmugfd6r4g6ku6yapra7,24
51,terra1097s4u7h09724597uxyz70uhtxvc089wtl96lz,19
52,terra109cj7tufqzwpuj8pj54m9s2r6l5lgw8hhx8nhg,25
53,terra109gjjdavqcyjcc8ceptu3ghzdtnwydyjs565ju,21
54,terra109mjlzrgvtmllphfedm7v8wy7yvgr5e0zkukra,30
55,terra109myrrdrmvqy9mn252wxm0pqxkg2et8kx34z5v,14
56,terra109w54lxfpgckth4gq3knral2c8ay49mxjyj7yp,24
57,terra10a7gf76534vnlghvvs9en25z8jd3d7p7rp0u9c,10
58,terra10aspf7gujs9mh5d8l4pus3hzkrpz5nfqalz04x,5
59,terra10auk5yc7fygueq3nr7jfnugwyngt0m9mrwp08e,19
60,terra10ayza8x0wssgt5nghw5xx0slttjguchaxfz4dn,7
61,terra10c3eeuk25lnaj9ga3y3aqxc3tn5cprmg9dxp8a,27
62,terra10c4a7n838ms8ztm07lagywx9s0qfc4dv4lmprt,3
63,terra10c69revfrvks73700rctehzn6694r78y8uc006,18
64,terra10ce3664e52thvut6ytd0ctma59v0t9yfjtwyfz,30
65,terra10cfalfg0ygevam7c9mvdavcmxt7wqmmqrgy9xp,30
66,terra10cmez52kc8jhjguvnk90zu4l85w4ympj0yg8ux,7
67,terra10czjg8ynwjshxsn64eh80hfq2kf3txtna6ndt8,29
68,terra10czrqez0yqaf348hm7q8g897ugyn5r5r2s8lgg,11
69,terra10d64rrfr7rj7f3punrhcm8svf3fnsc9sqc9fac,24
70,terra10d947wn4z7wynznqr040m4nwhng70x8k8xpnn7,8
71,terra10d98pj46s47mkqyvmfqx3yfzarxv9p3vlh83zu,9
72,terra10daty845flyvzl29uvsh4pwcnc4ff99fj77q55,30
73,terra10dawxjdvl5v36fzn84t9p4gh7u7ly5vmqwxdkh,26
74,terra10df60ysnfmsvu4ea0esyc2p38y5auf5zsjgk44,3
75,terra10duczj5h32m363ar7slt7tdhc0u0tsu9xr5hnf,30
76,terra10dyrjurndzhp50n7qsg7s4ftk5wja23ppl56n3,2
77,terra10e0lnartjgxlmuldpg5c02jlumpdjglwhjldnp,8
78,terra10elu6pj2umvfnc8pe309umrtql3p4ggvz6kdta,2
79,terra10epul476m7wufraudp0rpxrfsy5kc9mzqanyt3,24
80,terra10etnul23edrmvl2r9mgshzjsyl03dad9u4xkcm,8
81,terra10eyxd6p98dtlryzuplmj44d59mc05usuy8ya9v,30
82,terra10eyyzfp6r62fxelzgf25k2sev6ykr2se3gt65x,13
83,terra10f0rvrpqy08vl0e76yjujahtpmz3wqutsh5n7d,7
84,terra10facy7vmjc64uf5gqfvxzwgj5knvylw5k9uv7g,30
85,terra10feh3nsr7kvv9upn9mqzkupr2e82j9zy80lsxc,1
86,terra10fh4yugfcssjn0u9q75xvzun0uxa7a2a8n942p,19
87,terra10fyrywt75ps3wj0ssdxm8sgm6tgkgtylm9sv26,23
88,terra10gf2ya25ens0ka3v6wgq0epmxeykv8mrccueda,18
89,terra10gjxd65n99n8jf7jy2fk28c2g3rxfddu2lr0rt,2
90,terra10gsnxrjs3ylaf9mvf408nx8spuhrjamuq5g47u,1
91,terra10h4cm2yqwx0vle295n9zr4jkr2cvxva93ku7p6,10
92,terra10h6q6unjxngdxx6tadtwhzstvax80v6lxelyvf,15
93,terra10hflg36senj6dcv9gxajtyfj7ku99mrc6azcs3,8
94,terra10hm3cvculpr227e79f3tz9upxc77l78fshzfq2,2
95,terra10hnwentn5jv2ckgxzvn3ujflyu63ky7j2ax8h0,24
96,terra10hryzctz898clsrm802kknyj4l6kayuaelr0lu,27
97,terra10hyqtxhl42ezqj07y9ymsvd0shf90766007fqz,21
98,terra10j2ymt4pdpqslfw4ssgnamm6dmnjcmwg790k3f,13
99,terra10j65tl4tcftq98w6c9zs8eksgel2tu87vslld4,29
100,terra10ja5cguysvsyza9zdd5zsvlwx0dwe9yr9le356,24
101,terra10jaevevsrq9avy9xykwj0texyn63x7fw9z73kq,1
102,terra10jn9jng7lah478zrw24wqkwv8xsm78268tdcj9,5
103,terra10jtpd5xg2p5nllncdt5zrj4m4rqpndtgtmg5m2,2
104,terra10jzuadndq8lujezn4jz59scjql5tjychzv4a9q,15
105,terra10k29sv63uyhlcgyvetqnava8r9mx7847f83z6w,25
106,terra10kelc3zsx508pwvesjz5hngsjz4q034hm3v8fg,2
107,terra10kjtfk97jg0eue3z9mafquffe5q4ty8q7m9wdd,21
108,terra10kmr23va9jn4zw8tkqfal7w6ng8wkgvwk3crpq,25
109,terra10kp5m8k98u7jza8959dz9eak4yukc5gphudxf3,21
110,terra10kv5d40ftd5x5h23dhkw0yg4qy2zs7xgd69ky7,17
111,terra10kwedtssggnhmdpm84wcdy794k0nhuaq53drwq,19
112,terra10kwwrcvzwwut0lstwd48nkxg5674dz9u4m2n2v,27
113,terra10kz6jgnx2qzamemwezd8lz7c4z0et5mdhg8t0l,14
114,terra10l2zzuey3qkczptu3juxuwwlrznplws25zhsnh,23
115,terra10l8q789xp87gqaqh9nmllzkfey6h0a5lke6nkg,4
116,terra10l9g9kvnhrmc4nyn8apel0d4esa24fchfnquw9,24
117,terra10latqlq6x2925tl22r0lfxjt5pjg0zuvndqnas,27
118,terra10lhfa67py8f75znkac0wqwk4rlwhehrfw3jl27,18
119,terra10lmwpjjvxdqh7jtzt989ucp7skhe9javkjawvx,2
120,terra10lp5v7sqqfvyaq6ulccuz3y6fmt934tujq0kx4,7
121,terra10lwmun98vpv9fuup2jnjvwp70a9778ra8tqjpm,26
122,terra10m29s0xf5vjl8szqr0aj8q6zac3celulq2smrc,10
123,terra10me0c8vuk49vvhc6fz5k97nypemwal8cey207u,19
124,terra10mgvscqnswz6zu8aex6jra2mf0el73ng7p2d72,27
125,terra10mjksgah6lpeh32re4wkyp8znvw6ldr8g8tzvg,10
126,terra10mnt62tmjcl0fej2q0863jg6hvvqfrhu6alsl5,7
127,terra10mrssn6p7s09uvcp7vz4zl8nfs76au03dsk4xx,7
128,terra10my55ndyhpr7ww4r7hh4wyepdpzlxck7tj63m8,29
129,terra10n6qsqvsd280enhpjan9h0xj86992yhhndv26p,30
130,terra10nnk4xsezjt5gne9wv8cnxryne369pvdlzdqhy,2
131,terra10nu2a4qvy045jj4gy2tn2z49pnt3vw0qw8tats,29
132,terra10nwer94e5mqx6zqjhgpuk00r63q9cyc45e4x09,21
133,terra10p7drrhhnuwt2nhux700sn0n6mcm37dfeua227,27
134,terra10plc3x8ass5734thwzlq6rwtks3p7fqvd9d74y,23
135,terra10ppp65gh2m9eujsgl0648w3p5dk7n9cvv8arha,23
136,terra10ptds0a9kd0ktdy6xed60gemkrgyrj6ryzn2kw,4
137,terra10pwxm82pcpu7lcg90nmwfl5tss0xylkpqctq4g,2
138,terra10py7vtk48a78mpdgdaaj3get9pnd350redxkjs,27
139,terra10q2fh36m6jw4hdzx5eszhmz2w8543hax2hsv63,12
140,terra10qd8u99gu6azz9fa9zxdr7v4g05ad3x89jhef5,10
141,terra10qddr083vf36xr9fwusdkhetpsu3zqgy8smqk8,21
142,terra10qdrhguh8r23se8c96mp5wnd48vv58esnj6m24,19
143,terra10qeqkwy4k6gv58g9f2dnh7azd6x2r3neekdel2,2
144,terra10qkmmjltd02ctaumxnnzvkwh7zwk2zzeejuzjv,2
145,terra10qwm80ccf0kqtzp4tu9queu3uprkx5m2pwfvfk,27
146,terra10qzrhxqqlpjc9sywwteesfp5yzq4sn88ymny49,2
147,terra10r2zpcpmfesjmwpuwej5c5gpypljl793cjg5hh,7
148,terra10ra36fek8r0n58pqcz40a4smyjzv4n30vva4d9,12
149,terra10rgw0n4s6g6ctldxx065tm0x5x3s8r0320hycr,5
150,terra10rlu2jcjlupnatpqyy2p65wwagy9k5ye5wt3ts,2
151,terra10rx277cpllkv90m0x5qalvchf47w4pl2delwvt,16
152,terra10s3tl7zvg0s4g9u6rx06a76hjgqx7mzjhxtf7d,26
153,terra10s5qfpjjyv5wmkuukns0hns39ak04wdc957wph,4
154,terra10s8fjrez52vf20xvf4q8wtjecgandc0zt9kung,3
155,terra10scpaz33l0ep7fhp0h93sqgkdfhek4hexyfcf0,8
156,terra10sp9lnt5sc8xc5m30xl8ku8nkajvpc4e4gap6u,27
157,terra10sql3r3f9vqrxekpfmldpau084sdzfnf9l07c8,30
158,terra10st0fptumtt3mkurjddp4qq4624gf3g44sghns,26
159,terra10t6v7paqejrytv9j77whrgd2ja0pdqg3gw4eqn,14
160,terra10tkffcjmjz7u0fg824hyjegp8yztl5m3zu8dv6,22
161,terra10tv6kn75xt063k8vy37vm7qeud6p70sgq5tcxq,30
162,terra10txtzyueqyyj7pdywaz9dvzm68zwe3sf8tet3f,10
163,terra10tzrdupldrs77xsd3fj8k0cspavhkcp2y2thrs,18
164,terra10umapn3m2h0qfh3v4u0p4ywyrrpz42hqm60dyz,22
165,terra10v0x0wylpy0z0q4vr0vydhhd32s7a0k29tlyaf,2
166,terra10v97g9huujp6twm5dvf35xqnd96c7u9aljz28c,2
167,terra10v9pf3fyvq546g97399c6z4eslsqs6ucckw5m2,25
168,terra10vjqtstmeyu74r4eumrh74mdu0cc332xcjtz30,9
169,terra10vlp0zxuxg7vdgdhuy0jxufdgacqj6yp4ph7pf,24
170,terra10vlr3gm9a7fyyq4y58m490yrdyljmuyz49ahaz,12
171,terra10vzjv3nja440sz9vw2pmd253ygyyxu6ct0f94f,30
172,terra10w49w9uysms7jm32w4jvxxklwrn29vm6f2kg8m,14
173,terra10w6yczfxclpepknp3k6t2ga633h9vhrphwrtlw,24
174,terra10w7txzypvys0npq2a72zgvna252krtyhpqazkx,24
175,terra10wg6wcjarlv6fldxle6wgm295t67d3lhvvgj8w,25
176,terra10wlt9lr78ms0k3vulzxx03nyk3998xnkj7jp5k,7
177,terra10wudkjzj2y2p09cc08v3tqg3qz60q9swzgu4gv,29
178,terra10x4td3qm42yxtfr8l805a34qdrw2s049rfkmax,27
179,terra10x53ytg2lwuee59d4mg3klmprcl40jg0h78a2c,11
180,terra10x7f8a9n4a6cdcpwh76kcruj4k09qsk4n0hl5p,2
181,terra10xg7h5n9gtzkdj5sr8l54ppatmkccv7444n2x3,5
182,terra10xj7yy9u9yzw2n7drtrg97ek9wwumu8ejdxa9n,14
183,terra10xjcdg4qn4628v6agzghey7anqrlkenk2l8wx9,2
184,terra10xmxyeez0rv4754d2lchxmwkwls8umt9cg45ct,27
185,terra10xnfkcs76qgm6uz94u0c9emmlyq4adsz6vpdu7,24
186,terra10xq5xljradwng48vhpmzuefscgz8plrrn33g75,13
187,terra10xr6rjrrw7p2njttwyshrhd3dkguw4uh9ue74l,14
